,Company Name,Company Rating,Company Type,Company Locations
404,Aavas Financiers,4.0,Financial Services , Jaipur +235 more
405,HCL Infosystems,4.0,IT Services & Consulting , Noida +104 more
406,Citicorp,3.7,Financial Services , Mumbai +23 more
407,Sterling & Wilson,4.1,Engineering & Construction , Mumbai +101 more
408,Dhani Loans and Services,3.9,NBFC , New Delhi +180 more
409,Bureau Veritas,4.0,Other , Paris La Défense +113 more
410,CAMS,3.7,IT Services & Consulting , Chennai +89 more
411,Sopra Steria,4.0,IT Services & Consulting , Paris +15 more
412,KENT RO Systems,4.1,Consumer Electronics & Appliances , Noida +139 more
413,Gallagher,3.9,Insurance , Rolling Meadows +16 more
414,Unacademy,3.2,EdTech , Bangalore +57 more
415,Varroc Group,3.8,Auto Components , Aurangabad +34 more
416,Coromandel International,4.1,Agro Chemicals , Hyderabad/Secunderabad +146 more
417,Future Generali India Life Insurance,3.8,Insurance , Mumbai +173 more
418,Canara HSBC Life Insurance,3.7,Insurance , Gurgaon/Gurugram +247 more
419,Allsec Technologies,4.0,BPO , Chennai +26 more
420,Cisco,4.3,Hardware & Networking , San Jose +37 more
421,Tata Motors Finance,4.2,NBFC , Mumbai +226 more
422,RMSI,3.8,IT Services & Consulting , Noida +13 more
423,Power Mech Projects,3.9,Engineering & Construction , Hyderabad/Secunderabad +118 more
424,Star Health & Allied Insurance,3.8,Insurance , Chennai +249 more
425,café Coffee day,4.0,Hospitality , Bengaluru +93 more
426,Adani Wilmar,4.2,FMCG , Ahmedabad +153 more
427,IntouchCX,3.0,BPO , Winnipeg +18 more
428,JK Tyres,3.8,Auto Components , New Delhi +129 more
429,Gabriel India,4.2,Auto Components , Pune +41 more
430,KIA MOTORS,3.9,Automobile , Seoul +139 more
431,Straive,3.5,Analytics & KPO , Singapore +23 more
432,DBS Bank,3.9,Banking , Hyderabad/Secunderabad +143 more
433,Lucas-TVS,4.0,Auto Components , Chennai +62 more
434,Bank of Baroda,3.6,Banking , Vadodara/Baroda +247 more
435,Planet Spark,3.7,EdTech , Gurgaon +41 more
436,Laurus Labs,4.2,Pharma , Hyderabad/Secunderabad +15 more
437,Sify Technologies,4.0,IT Services & Consulting , Chennai +107 more
438,Hero FinCorp,4.2,NBFC , Delhi +327 more
439,ValueLabs,3.8,IT Services & Consulting , Hyderabad/Secunderabad +16 more
440,Hindustan Aeronautics,4.4,Defence & Aerospace , Bangalore/Bengaluru +46 more
441,Adani Power,4.0,Power , Ahmedabad +86 more
442,Indian Navy,4.6,Defence & Aerospace , Delhi/NCR +56 more
443,Parle Products,4.0,Food Processing , Mumbai +195 more
444,ABC,4.0,Broadcasting , New York +98 more
445,Akums Drugs & Pharmaceuticals Limited,4.3,Pharma , Delhi/NCR +28 more
446,Thomson Reuters,4.2,Software Product , Toronto +24 more
447,upGrad,3.8,EdTech , San Francisco +39 more
448,ESAF Microfinance & Investments (P),3.9,Financial Services , Thrissur/Trichur +296 more
449,Taurus BPO Services,4.6,BPO , Pune +14 more
450,Uflex,3.8,Packaging , Noida +42 more
451,Intellect Design Arena,4.1,FinTech , Chennai +28 more
452,AECOM,4.3,Engineering & Construction , Dallas +106 more
453,SAP,4.3,Software Product , Walldorf +44 more
454,TVS Sundram Fasteners,3.8,Auto Components , Chennai +43 more
455,Citibank,4.0,Banking , New York +47 more
456,CMA CGM,4.0,Ports & Shipping , Marseille +24 more
457,Cargill,4.2,Food Processing , Wayzata +97 more
458,Google,4.4,Internet , Mountain View +77 more
459,Microsoft Corporation,4.1,Software Product , Sunnyvale +41 more
460,IDBI Bank,3.7,Banking , Mumbai +276 more
461,SGS,3.9,Other , Geneva +112 more
462,Reliance General Insurance,3.9,Insurance , Mumbai +170 more
463,Dr Lal PathLabs,4.2,Healthcare , Gurgaon/Gurugram +156 more
464,Honda,4.2,Automobile , Greater Noida +197 more
465,Novartis,4.1,Pharma , Switzerland +66 more
466,Optum Global Solutions,4.1,IT Services & Consulting , Gurgaon / Gurugram +14 more
467,Renault Nissan Technology & Business Centre India,3.9,Automobile , Chennai +14 more
468,L&T Energy Hydrocarbon,4.0,Engineering & Construction , Mumbai +70 more
469,TCE,3.8,Engineering & Construction , Mumbai +101 more
470,Kotak Securities,3.7,Financial Services , Mumbai +118 more
471,Meesho,3.7,Internet , Bengaluru/Bangalore +101 more
472,Xoriant,3.9,IT Services & Consulting , Sunnyvale +19 more
473,YASH Technologies,3.8,IT Services & Consulting , East Moline +22 more
474,Narayana Health,4.2,Healthcare , Bangalore/Bengaluru +59 more
475,Honeywell Automation,3.8,Consumer Electronics & Appliances , Morris Plains +66 more
476,AXA Business Services,3.8,Insurance , Paris +9 more
477,Big Bazaar,4.3,Retail , Mumbai +154 more
478,SBI General Insurance,3.8,Insurance , Mumbai +212 more
479,Spark Minda,3.9,Auto Components , Gurgaon +60 more
480,BA Continuum,4.2,NBFC , Gurgaon/Gurugram +15 more
481,Apollo Pharmacy,4.0,Pharma , Chennai +208 more
482,Vedantu,3.4,EdTech , Bangalore +53 more
483,Wockhardt,3.9,Pharma , Mumbai +77 more
484,MetLife,4.3,Insurance , New York +39 more
485,Philips,3.9,Consumer Electronics & Appliances , Amsterdam +83 more
486,CMS Infosystems,3.7,IT Services & Consulting , Mumbai +170 more
487,Tata Play,4.0,Broadcasting , Mumbai +197 more
488,Biological E,4.2,Biotechnology , Hyderabad/Secunderabad +47 more
489,Niva Bupa Health Insurance Company,3.7,Insurance , Delhi/NCR +192 more
490,NCR Corporation,4.1,IT Services & Consulting , Atlanta +80 more
491,Vardhman Fabrics,4.1,Fashion & Textile , Ludhiana +51 more
492,Crisil,3.7,Financial Services , Mumbai +56 more
493,Aragen Life Sciences,4.1,Pharma , Hyderabad/Secunderabad +19 more
494,Safexpress,4.1,Logistics , Delhi/NCR +141 more
495,Exl India,3.6,IT Services & Consulting , New Delhi +26 more
496,G R Infraprojects,4.2,Engineering & Construction , Gurgaon/Gurugram +133 more
497,Frankfinn Institute of Air Hostess Training,4.0,Education & Training , Gurgaon/Gurugram +59 more
498,Innovsource Services,4.0,Recruitment , Mumbai +199 more
499,Microland,3.6,IT Services & Consulting , Bangalore +40 more
500,Allstate,3.9,Insurance , Bangalore/Bengaluru +9 more
501,Panasonic Life Solutions India,4.1,Consumer Electronics & Appliances , Gurgaon / Gurugram +112 more
502,SBI Securities,3.8,Financial Services , Mumbai +227 more
503,Amazon Transportation Services,4.1,Logistics , Seattle +132 more
504,R.R. Donnelley,4.0,Marketing & Advertising , Chicago +12 more
505,Angel One,3.9,FinTech , Mumbai +111 more
506,Metro Cash & Carry,4.2,Retail , Bangalore/Bengaluru +78 more
507,PHN Technology,4.6,Pune +31 more,NA
508,Matrimony.com,4.4,Internet , Chennai +50 more
509,SS&C TECHNOLOGIES,3.5,IT Services & Consulting , Windsor Locks +26 more
510,Bharat Financial Inclusion,4.0,NBFC , Hyderabad +347 more
511,Reckitt Benckiser,4.0,FMCG , Slough +115 more
512,Bhushan Power & Steel,4.0,Iron & Steel , Delhi/NCR +51 more
513,CitiusTech,3.4,IT Services & Consulting , New Jersey +14 more
514,USV,4.1,Pharma , Mumbai +91 more
515,Aditya Birla Capital,4.0,Financial Services , Mumbai +194 more
516,Motherson Automotive Technologies and Engineering,4.0,Auto Components , Noida +53 more
517,Adecco Group,3.8,Recruitment , Zurich +127 more
518,Procter & Gamble,4.2,FMCG , Cincinnati +210 more
519,Dainik Bhaskar Group,4.4,Printing & Publishing , Bhopal +129 more
520,XL Dynamics,3.2,IT Services & Consulting , Navi Mumbai +27 more
521,Yamaha Motor,4.2,Automobile , Iwata +126 more
522,Cavinkare,4.0,FMCG , Chennai +149 more
523,USHA International,4.2,Consumer Electronics & Appliances , Gurgaon/Gurugram +112 more
524,Team Computers,3.7,IT Services & Consulting , Delhi/NCR +87 more
525,HERE Technologies,3.9,IT Services & Consulting , Eindhoven +14 more
526,Mercedes-Benz Research & Development India,4.0,IT Services & Consulting , Bengaluru/Bangalore +47 more
527,NTPC,4.3,Delhi/NCR +104 more,NA
528,KONE,4.3,Industrial Machinery , Chennai +65 more
529,Isgec Heavy Engineering,3.9,Industrial Machinery , Noida +68 more
530,DHL Supply Chain,4.3,Logistics , Bonn +78 more
531,Torrent Power,3.8,Power , Ahmedabad +39 more
532,PI Industries,4.1,Agro Chemicals , Gurgaon/Gurugram +89 more
533,Mother Dairy Fruit & Vegetable,4.2,Food Processing , Noida +113 more
534,Honda Cars,4.4,Automobile , Alwar +92 more
535,Oberoi Group of Hotels,4.2,Hospitality , Delhi/NCR +31 more
536,Honeywell Technology Solutions,3.9,Defence & Aerospace , Bangalore/Bengaluru +19 more
537,DIVI'S Laboratories,3.9,Healthcare , Hyderabad/Secunderabad +23 more
538,Chegg,4.2,EdTech , Santa Clara +66 more
539,Saint-Gobain,4.0,Building Material , Paris +92 more
540,Haier Appliances India,4.1,Consumer Electronics & Appliances , Qingdao +109 more
541,Johnson & Johnson,4.2,Pharma , New Brunswick +142 more
542,Sigma Electric Manufacturing Corporation,4.0,Industrial Machinery , Garner +20 more
543,Paisabazaar.com,3.6,Internet , Gurgaon/Gurugram +22 more
544,Jindal Saw,4.0,Building Material , Delhi/NCR +64 more
545,Credit Suisse,4.3,Financial Services , Zurich +10 more
546,Arvind Group,4.1,Fashion & Textile , Ahmedabad +81 more
547,Max Fashion,4.2,Retail , Abu Dhabi +136 more
548,Verizon,4.1,Telecom , New York City +10 more
549,Tata Communications Transformation Services,4.1,Hardware & Networking , Mumbai +83 more
550,Hyatt Regency,4.2,Hospitality , New Delhi +44 more
551,Daikin,4.2,Consumer Electronics & Appliances , Osaka City +89 more
552,Star Union Dai-ichi Life Insurance,3.9,Insurance , Navi Mumbai +234 more
553,V-Guard Industries,4.4,Consumer Electronics & Appliances , Kochi/Cochin +134 more
554,Medi Assist India,3.7,Insurance , Bangalore +55 more
555,DHL Express,4.1,Logistics , Bonn +84 more
556,Globiva,3.2,BPO , Gurgaon/Gurugram +19 more
557,Haldiram Foods,3.9,FMCG , Nagpur +127 more
558,Exela Technologies,3.6,IT Services & Consulting , Irving +20 more
559,FactSet,4.0,Financial Services , Norwalk +14 more
560,Tata Group,4.3,IT Services & Consulting , Mumbai +155 more
561,Nuvoco Vistas,4.2,Building Material , Mumbai +141 more
562,Photon Interactive,4.0,IT Services & Consulting , London +11 more
563,CG Power and Industrial Solutions,3.9,Electrical Equipment , Mumbai +82 more
564,UBS,3.9,Investment Banking / Venture Capital / Private Equity , Zurich +29 more
565,HDFC Securities,3.7,Financial Services , Mumbai +161 more
566,Medanta the Medicity,4.1,Healthcare , Gurgaon +34 more
567,Relaxo Footwear,4.3,Fashion & Textile , New Delhi +128 more
568,Piramal Group,4.0,Financial Services , Mumbai +124 more
569,Orange Business,4.3,IT Services & Consulting , Paris +46 more
570,Hindustan Petroleum,4.3,Oil & Gas , Mumbai +201 more
571,Aadhar Housing Finance,4.1,Financial Services , Mumbai +256 more
572,BNP Paribas,3.9,Financial Services , Paris +22 more
573,FirstCry,3.8,Retail , Pune +148 more
574,Morgan Stanley,3.7,Financial Services , New York +17 more
575,First American Corporation,3.8,Financial Services , Santa Ana +14 more
576,NextComm Corporation,4.9,Ahmedabad +11 more,NA
577,Biocon Biologics,3.8,Biotechnology , Bangalore/Bengaluru +30 more
578,Aforeserve,3.5,IT Services & Consulting , Noida +148 more
579,Security and Intelligence Services (India),4.1,Law Enforcement & Security , Delhi/NCR +160 more
580,Oracle Cerner,3.7,IT Services & Consulting , Kansas +5 more
581,Emami,4.0,Beauty & Personal Care , Kolkata +148 more
582,Belrise Industries,3.8,Auto Components , Aurangabad +39 more
583,Aon,3.9,Financial Services , London +18 more
584,IDC Technologies,3.3,IT Services & Consulting , Milpitas +56 more
585,Bata,3.9,Fashion & Textile , Lausanne +123 more
586,Exotic Learning,4.5,EdTech , Lucknow +141 more
587,Fusion CX,3.1,BPO , Ohio +45 more
588,Dell EMC,4.2,IT Services & Consulting , Hopkinton +51 more
589,Hindustan Construction Company,4.3,Engineering & Construction , Mumbai +81 more
590,Toyota Kirloskar Motor,4.4,Automobile , Bangalore/Bengaluru +75 more
591,Marriott International,4.3,Hospitality , Bethesda +75 more
592,Tata Power,4.0,Power , Mumbai +120 more
593,KFC,4.2,Hospitality , Louisville +142 more
594,Mercer,3.8,Management Consulting , New York +17 more
595,Tesco,3.9,Retail , Hertfordshire +15 more
596,Narayana Educational Society,3.7,Education & Training , Hyderabad/Secunderabad +131 more
597,Trident Group,3.4,Fashion & Textile , Ludhiana +44 more
598,Faurecia,4.0,Auto Components , Nanterre +25 more
599,Trent,4.1,Retail , Mumbai +111 more
600,Ola Electric Mobility,3.3,Automobile , Bangalore +177 more
601,TaskUs,3.5,BPO , New Braunfels +23 more
602,Altruist Technologies,3.2,BPO , Chandigarh +31 more
603,Tata Advanced Systems,3.9,Defence & Aerospace , Hyderabad/Secunderabad +37 more
604,FedEx Express,4.2,Logistics , 	Moon Township +90 more
605,Iris Software,4.2,IT Services & Consulting , Edison +16 more
606,Polycab Wires,4.1,Electrical Equipment , Mumbai +125 more
607,Veritas Finance,4.7,NBFC , Chennai +260 more
608,L.G.Balakrishnan & Bros,3.7,Auto Components , Coimbatore +40 more
609,Marico,4.1,FMCG , Mumbai +150 more
610,Suguna Foods,4.1,Food Processing , Coimbatore +162 more
611,HTC Global Services,3.6,IT Services & Consulting , Troy +25 more
612,iOPEX Technologies,3.7,IT Services & Consulting , San Jose +14 more
613,NIIT,3.7,Education & Training , Gurgaon / Gurugram +95 more
614,Infinite Computer Solutions,3.5,IT Services & Consulting , Rockville  +28 more
615,Hero Motors Company,4.1,Automobile , New Delhi +192 more
616,Muthoot Group,3.6,Financial Services , Wedel +265 more
617,Krishna Maruti,4.0,Auto Components , Gurgaon/Gurugram +33 more
618,Sony,4.3,Consumer Electronics & Appliances , Delhi/NCR +125 more
619,Jet Airways,4.6,Aviation , Mumbai +43 more
620,Bajaj Capital,3.9,Financial Services , Delhi/NCR +147 more
621,Welspun,4.0,Fashion & Textile , Mumbai +60 more
622,Manipal Hospitals,4.2,Healthcare , Bangalore/Bengaluru +51 more
623,Oracle Financial Services Software,3.7,IT Services & Consulting , Mumbai +17 more
624,Pantaloons,4.2,Fashion & Textile , Mumbai +143 more
625,Satin Creditcare Network,4.1,NBFC , Gurgaon/Gurugram +236 more
626,SRL Diagnostics,4.1,Healthcare , Mumbai +117 more
627,Inox Leisure,4.0,Media & Entertainment , Mumbai +86 more
628,Nayara Energy,4.2,Petrochemicals , Mumbai +76 more
629,ISS Facility Services,4.1,Facility Management Services , Copenhagen +58 more
630,Biocon Limited,3.9,Biotechnology , Bangalore Rural +49 more
631,ZF Commercial Vehicle Control Systems,4.0,Auto Components , Chennai +32 more
632,Akzo Nobel India,4.2,Chemicals , Amsterdam +131 more
633,Adani Group,4.0,Power , Ahmedabad +129 more
634,TTEC India,3.8,BPO , Englewood +23 more
635,J. Kumar Infraprojects,4.1,Engineering & Construction , Mumbai +31 more
636,Fabindia,4.0,Fashion & Textile , Delhi/NCR +79 more
637,Barclays Shared Services,4.1,IT Services & Consulting , London +12 more
638,Collabera Technologies,3.5,IT Services & Consulting , Basking Ridge +44 more
639,ICICI Home Finance,3.8,NBFC , Mumbai +182 more
640,Daimler India Commercial Vehicles,4.1,Automobile , Chennai +40 more
641,Cushman & Wakefield,4.2,Real Estate , Chicago +38 more
642,Gland Pharma,3.7,Pharma , Hyderabad +26 more
643,VLCC,3.7,Beauty & Personal Care , Delhi/NCR +98 more
644,Redcliffe Labs,4.5,Healthcare , Noida +80 more
645,Chandigarh University,4.5,Education & Training , Mohali +41 more
646,Supreme Industries,4.2,Petrochemicals , Mumbai +93 more
647,Panasonic,4.1,Consumer Electronics & Appliances , Kadoma +111 more
648,Lavender Technology,5.0,IT Services & Consulting , USA +4 more
649,Asahi India Glass,3.9,Auto Components , Gurgaon/Gurugram +62 more
650,Ashoka Buildcon,4.1,Engineering & Construction , Nasik/Nashik +132 more
651,ITD Cementation India,4.3,Engineering & Construction , Mumbai +68 more
652,JioMart,3.9,Kolkata +268 more,NA
653,Jindal X,3.5,BPO , New Delhi +19 more
654,TCS iON,3.9,IT Services & Consulting , Mumbai +100 more
655,Annapurna Finance,4.1,NBFC , Bhubaneswar +280 more
656,Sysnet Global Technologies,3.6,IT Services & Consulting , Delhi/NCR +113 more
657,NeoSOFT,4.0,IT Services & Consulting , Mumbai +20 more
658,Aye Finance,4.2,NBFC , Delhi +239 more
659,Godrej Group,4.0,Chemicals , Mumbai +116 more
660,Shadowfax Technologies,3.7,Logistics , Bangalore +163 more
661,Granules India,3.9,Pharma , Hyderabad/Secunderabad +14 more
662,Ocwen Financial Solutions,4.1,Financial Services , West Palm Beach +7 more
663,Heritage Foods,4.1,Food Processing , Hyderabad/Secunderabad +96 more
664,GMR Group,4.1,Engineering & Construction , Delhi/NCR +55 more
665,Aptara,3.3,Printing & Publishing , Falls Church +10 more
666,Sanofi,4.3,Pharma , Paris +72 more
667,HighRadius,3.1,FinTech , Houston +12 more
668,GE,4.3,Defence & Aerospace , Boston +63 more
669,Compass Group Support Services,4.1,Hospitality , Chertsey +63 more
670,Adani Ports and SEZ,3.9,Ports & Shipping , Ahmedabad +70 more
671,MiraMed Ajuba,4.0,BPO , Chennai +14 more
672,EPAM Systems,3.8,IT Services & Consulting , Newtown +20 more
673,Bharat Forge,3.9,Iron & Steel , Pune +18 more
674,Spicejet,3.5,Aviation , Gurgaon/Gurugram +59 more
675,Canara Bank,3.5,Banking , Bangalore/Bengaluru +168 more
676,Spinny,3.8,Internet , Gurgaon +44 more
677,Caterpillar Inc,4.2,Industrial Machinery , Deerfield +34 more
678,Bharat FIH,4.0,Electronics Manufacturing , Chennai +32 more
679,Broadridge Financial Solutions,4.0,FinTech , New York City +9 more
680,Unisys,3.8,IT Services & Consulting , Blue Bell +14 more
681,Evalueserve,3.4,IT Services & Consulting , Schaffhausen +11 more
682,AB InBev India,3.5,Beverage , Leuven +66 more
683,NSE.IT,3.6,IT Services & Consulting , Mumbai +136 more
684,GE Vernova,4.2,Noida +70 more,NA
685,Sharekhan,4.0,Financial Services , Mumbai +109 more
686,Steel Strips Wheels,3.8,Auto Components , Chandigarh +36 more
687,Xiaomi,3.9,Consumer Electronics & Appliances , Haidian District +179 more
688,Edelweiss,3.8,Financial Services , Mumbai +108 more
689,Vfs Global Services,3.7,BPO , Mumbai +26 more
690,Lumax Industries,4.0,Auto Components , Pune +32 more
691,Amity University,3.6,Education & Training , Noida +78 more
692,Sagility,3.9,BPO , Westminster +20 more
693,IFB,3.7,Consumer Electronics & Appliances , Kolkata +140 more
694,Pine Labs,3.7,FinTech , Noida +82 more
695,Unichem Laboratories,3.9,Pharma , Mumbai +67 more
696,Bisleri,4.2,Beverage , Mumbai +137 more
697,NEC,4.5,IT Services & Consulting , Noida +41 more
698,Indoco Remedies,3.7,Pharma , Mumbai +69 more
699,Cinépolis,4.0,Media & Entertainment , Morelia +53 more
700,Physicswallah,3.8,EdTech , Noida +73 more
701,Newgen Software Technologies,3.6,IT Services & Consulting , New Delhi +23 more
702,CorroHealth,3.4,Hyderabad / Secunderabad +20 more,NA
703,Tanishq,4.5,Jewellery , Bangalore/Bengaluru +194 more
704,Synchrony,4.4,Financial Services , Stamford +8 more
705,Aircel,4.5,Telecom , Gurgaon/Gurugram +113 more
706,Iffco Tokio General Insurance Co.,4.1,Insurance , Gurgaon/Gurugram +232 more
707,Punjab National Bank,4.1,Banking , Delhi/NCR +175 more
708,Jakson Group,4.4,Power , Noida +85 more
709,Iksula,3.8,IT Services & Consulting , Mumbai +113 more
710,Fino Payments Bank,3.9,Banking , Mumbai +220 more
711,Northern Trust Operating Services,4.1,Financial Services , Chicago +16 more
712,LivSpace,3.6,Architecture & Interior Design , Bangalore +38 more
713,SYSKA LED Lights,2.9,Consumer Electronics & Appliances , Pune +152 more
714,ECIL,4.2,Electronics Manufacturing , Hyderabad/Secunderabad +40 more
715,Saipem,4.1,Engineering & Construction , San Donato Milanese +37 more
716,Devyani International,3.9,Hospitality , Gurgaon/Gurugram +96 more
717,Valeo,4.1,Auto Components , Paris +19 more
718,Aditya Birla Health Insurance Co,3.9,Insurance , Mumbai +193 more
719,FDC,4.1,Pharma , Mumbai +100 more
720,Paytm Payments Bank,3.9,FinTech , Noida +110 more
721,Tietoevry,4.3,IT Services & Consulting , Helsinki +9 more
722,BVG India,4.0,Facility Management Services , Pune +97 more
723,Health Care Global Enterprises,4.1,Healthcare , Bangalore/Bengaluru +41 more
724,Best Sellers,4.2,Fashion & Textile , Brande +81 more
725,Goldman Sachs,3.6,Investment Banking / Venture Capital / Private Equity , New York +19 more
726,Suryoday Small Finance Bank,4.1,Banking , Mumbai +157 more
727,VMware Software,4.5,Software Product , Palo Alto +17 more
728,Sheenlac Paints,4.6,Chemicals , Chennai +149 more
729,Burger King,3.9,Hospitality , Miami +93 more
730,DISH TV,3.6,Broadcasting , Noida +137 more
731,AGS Transact Technologies,3.4,FinTech , Mumbai +104 more
732,SKF,4.0,Auto Components , Gothenburg +62 more
733,Foxconn,4.1,Electronics Manufacturing , Taipei +40 more
734,Oil And Natural Gas Corporation,4.4,Oil & Gas , Delhi/NCR +65 more
735,Fidelity National Financial,3.8,Financial Services , Bangalore Rural +10 more
736,Wheelseye Technology,3.7,Logistics , Gurgaon +181 more
737,DENSO,4.2,Auto Components , Kariya +34 more
738,Sansera Engineering,4.2,Auto Components , Bangalore/Bengaluru +24 more
739,Xyz Company,3.8,Financial Services , Mumbai +90 more
740,Apco Infratech,3.9,Engineering & Construction , Lucknow +71 more
741,ManpowerGroup,3.9,Recruitment , New Delhi +121 more
742,SAI Life Sciences,3.9,Pharma , Hyderabad +16 more
743,Tata 1mg,3.7,Internet , Gurgaon +51 more
744,Clover Infotech,3.6,IT Services & Consulting , Mumbai +17 more
745,Shriram Pistons & Rings,4.1,Auto Components , Delhi/NCR +52 more
746,ANZ Banking Group,4.2,Financial Services , Melbourne +16 more
747,QualityKiosk Technologies,3.7,IT Services & Consulting , Mumbai +16 more
748,Gujarat Fluorochemicals,4.1,Chemicals , Noida +24 more
749,Dixon Technologies,4.1,Electronics Manufacturing , Noida +32 more
750,Schindler,4.0,Industrial Machinery , Pune +63 more
751,Fresenius Kabi,4.1,Pharma , Bad Homburg +58 more
752,Atul,3.9,Chemicals , Valsad +53 more
753,Nexa,4.1,Automobile , Delhi/NCR +184 more
754,Vibgyor High School,3.8,Education & Training , Mumbai +29 more
755,The Jaypee Group,3.9,Engineering & Construction , Noida +98 more
756,K12 Techno Services,3.1,EdTech , Bangalore/Bengaluru +33 more
757,Vestas,4.3,Power , Aarhus +43 more
758,Amneal Pharmaceuticals,4.3,Pharma , Bridgewater +26 more
759,Hitachi Astemo,4.1,Auto Components , Neemrana +32 more
760,EOSGlobe,3.1,BPO , Thane +17 more
761,Altisource,3.6,Real Estate , Bangalore/Bengaluru +8 more
762,FOCUS EDUMATICS,3.4,EdTech , Bangalore/Bengaluru +19 more
763,Amara Raja Energy & Mobility,4.3,Auto Components , Tirupati +70 more
764,Tata AutoComp Systems,3.9,Auto Components , Pune +34 more
765,iSON Xperiences,3.6,BPO , Lagos +35 more
766,Luminous Power Technologies,4.2,Consumer Electronics & Appliances , Gurgaon/Gurugram +110 more
767,Indegene,3.6,Analytics & KPO , Princeton +22 more
768,Wistron,3.9,Electronics Manufacturing , Taipei +20 more
769,CreditAccess Grameen,4.3,NBFC , Bangalore/Bengaluru +258 more
770,TELUS International Philippines,3.8,IT Services & Consulting , Pasig City +15 more
771,Infogain,3.6,IT Services & Consulting , Los Gatos +17 more
772,Patanjali Foods,4.1,FMCG , Mumbai +156 more
773,GAIL,4.5,Oil & Gas , Delhi/NCR +93 more
774,Medhaj Techno Concept,4.2,Other , Lucknow +143 more
775,Tenneco,3.8,Auto Components , Lake Forest +35 more
776,Jio Platforms,3.6,IT Services & Consulting , Navi Mumbai +72 more
777,IndiaFirst Life Insurance,4.1,Insurance , Mumbai +186 more
778,Infinx,3.6,Software Product , Mumbai +28 more
779,Videocon d2h,3.9,Internet , Mumbai +129 more
780,Kantar,3.6,Analytics & KPO , London +34 more
781,Johnson Lifts,4.1,Industrial Machinery , Chennai +67 more
782,Continental Automotive Components,4.2,Auto Components , Lower Saxony +19 more
783,CSB Bank,3.4,Banking , Thrissur/Trichur +154 more
784,Eaton Corporation,4.0,Power , Cleveland +19 more
785,AIIMS,4.2,Healthcare , Delhi/NCR +53 more
786,Consolidated Contractors,4.5,Engineering & Construction , Marousi +50 more
787,Wind World,3.9,Power , Mumbai +64 more
788,Bajaj Motors,3.9,Auto Components , Gurgaon +64 more
789,PharmEasy,3.8,Internet , Mumbai +57 more
790,Piaggio,3.7,Automobile , Pontedera +70 more
791,Godrej Properties,3.7,Real Estate , Mumbai +27 more
792,Mahindra CIE Automotive,3.8,Auto Components , Mumbai +37 more
793,Bharat Sanchar Nigam,3.9,Telecom , Delhi/NCR +211 more
794,TE Connectivity,4.1,Industrial Machinery , Schaffhausen +14 more
