,Company Name,Company Rating,Company Type,Company Locations
795,PNB Housing Finance,3.9,Financial Services , Delhi/NCR +115 more
796,Intertek,3.8,Other , London +84 more
797,Jaquar,4.1,Building Material , Gurgaon +86 more
798,JW Marriott,4.1,Hospitality , Bethesda +39 more
799,Zf Rane Automotive,4.1,Auto Components , Chennai +44 more
800,TUV SUD,3.9,Other , Munich +98 more
801,Godrej Consumer Products,4.2,FMCG , Mumbai +110 more
802,Automotive Manufacturers,4.2,Automobile , Mumbai +120 more
803,Gannon Dunkerley & Co.,3.8,Engineering & Construction , Mumbai +66 more
804,IIFL SAMASTA,4.1,NBFC , Bangalore / Bengaluru +274 more
805,Mondelez International,4.4,Food Processing , Greater Chicago Area +139 more
806,Capri Global Capital,3.7,NBFC , Mumbai +219 more
807,Worley,4.1,Engineering & Construction , North Sydney +44 more
808,JSW Cement,4.1,Building Material , Mumbai +108 more
809,Sahara India Pariwar,3.8,Broadcasting , Lucknow +225 more
810,Apexon,3.4,IT Services & Consulting , Santa Clara +15 more
811,Adobe,4.1,Software Product , San Jose +15 more
812,Slk Software Services,3.5,IT Services & Consulting , Bangalore/Bengaluru +11 more
813,Spencer's Retail,3.9,Retail , Kolkata +57 more
814,Karma Ayurveda,4.5,Healthcare , New Delhi +4 more
815,Punj Lloyd,4.4,Engineering & Construction , Gurgaon/Gurugram +70 more
816,Dhoot Transmission,3.7,Power , Mumbai +31 more
817,Sonata Software,3.6,IT Services & Consulting , Bangalore/Bengaluru +12 more
818,Petrofac,4.4,Oil & Gas , Jermyn Street +39 more
819,Morningstar,3.9,Financial Services , Chicago +16 more
820,Siemens Gamesa Renewable Power Private Limited,4.1,Power , Chennai +56 more
821,R Systems International,3.4,IT Services & Consulting , El Dorado Hills +15 more
822,Hinduja Leyland Finance,4.1,NBFC , Chennai +231 more
823,GAO Tek,4.5,Electrical Equipment , New York +34 more
824,Hatsun Agro Product,4.0,Food Processing , Chennai +102 more
825,Shriram Life Insurance,3.8,Insurance , Hyderabad / Secunderabad +222 more
826,Urban Company,3.5,Internet , Gurgaon / Gurugram +51 more
827,Coca-Cola Company,4.2,Beverage , Gurgaon / Gurugram +165 more
828,Tikona Infinet,3.7,Telecom , Mumbai +45 more
829,Nasser S. Al Hajri Corporation,3.6,Engineering & Construction , Al Jubail +44 more
830,Viraj Profiles,3.9,Iron & Steel , Boisar +21 more
831,Serco,4.4,Analytics & KPO , Mumbai +39 more
832,Nielsen,3.8,Analytics & KPO , Mumbai +71 more
833,HPCL-Mittal Energy Limited,4.3,Petrochemicals , Bathinda +24 more
834,Episource,3.8,IT Services & Consulting , Chennai +13 more
835,Decathlon,3.9,Retail , Bangalore / Bengaluru +60 more
836,Thyrocare Technologies,3.6,Healthcare , Navi Mumbai +62 more
837,Podar International School,4.3,Education & Training , Mumbai +110 more
838,Amazon Logistics,4.3,Logistics , Oragadam +124 more
839,RBL FinServe,4.1,Financial Services , Mumbai +284 more
840,iQor Global Services,3.6,BPO , Saint Petersburg +48 more
841,Atos Global IT Solutions And Services,4.0,IT Services & Consulting , Navi Mumbai +17 more
842,OpenText Technologies,3.8,Software Product , Waterloo +10 more
843,Airtel Payments Bank,4.2,FinTech , Delhi/NCR +226 more
844,Strides Pharma,3.9,Pharma , Bangalore/Bengaluru +31 more
845,Arvind Lifestyle Brands,4.1,Retail , Bangalore / Bengaluru +85 more
846,Bajaj Housing Finance,3.8,NBFC , Pune +122 more
847,JK Lakshmi Cement,3.9,Building Material , Delhi/NCR +115 more
848,Kirloskar Oil Engines,4.2,Industrial Machinery , Pune +89 more
849,Mando Automotive,3.9,Auto Components , Kanchipuram +17 more
850,Sunknowledge Services,3.9,BPO , New York +11 more
851,iMerit,3.7,Software Product , Kolkata +11 more
852,MDIndia Health Insurance TPA,3.8,Insurance , Pune +77 more
853,PNC Infratech,4.0,Engineering & Construction , Delhi/NCR +75 more
854,Sri Chaitanya Educational Institutions,3.8,Education & Training , Hyderabad/Secunderabad +86 more
855,FastInfo,4.3,EdTech , Kolkata +7 more
856,Shubham Housing Development Finance,3.9,NBFC , Gurgaon +115 more
857,Altimetrik,3.8,IT Services & Consulting , Southfield +10 more
858,V5 Global Services,3.9,Recruitment , Delhi/NCR +160 more
859,Kendriya Vidyalaya Sangathan,4.4,Education & Training , Delhi/NCR +208 more
860,Ion Exchange India,3.9,Waste Management , Mumbai +92 more
861,Parexel International,4.0,Clinical Research , Massachusetts +12 more
862,Onward Technologies Inc,3.2,Software Product , Mumbai +61 more
863,BGR Energy Systems,3.9,Engineering & Construction , Chennai +49 more
864,Jubilant Pharmova,4.0,Pharma , Noida +54 more
865,Aarvee Associates,4.0,Engineering & Construction , Hyderabad/Secunderabad +128 more
866,Barbeque Nation,4.0,Hospitality , Bangalore/Bengaluru +71 more
867,NTT DATA Business Solutions,3.8,IT Services & Consulting , Bangalore / Bengaluru +25 more
868,DCM Shriram,4.3,Chemicals , Delhi/NCR +78 more
869,Volkswagen,4.2,Automobile , Mumbai +96 more
870,Novo Nordisk,4.2,Pharma , New York City +63 more
871,Muthoot Microfin,4.5,NBFC , Ernakulam +248 more
872,Rockman Industries,3.9,Auto Components , Delhi/NCR +30 more
873,ReNew,4.3,Power , Gurugram +80 more
874,Intel,4.3,Semiconductors , Santa Clara +32 more
875,Jacobs Engineering Group,4.0,Engineering & Construction , Dallas +35 more
876,The Ramco Cements,4.3,Building Material , Chennai +89 more
877,XcelServ Solutions,4.6,IT Services & Consulting , Las Vegas +35 more
878,Edelweiss Tokio Life Insurance,3.9,Insurance , Mumbai +115 more
879,Softenger,4.3,IT Services & Consulting , Pune +32 more
880,Chetu,3.3,Software Product , Sunrise +8 more
881,Evision Technoserve,4.7,Recruitment , Delhi/NCR +63 more
882,Nippon Paint India,4.1,Chemicals , Osaka +124 more
883,Medplus(optival Health Solutions),3.6,Hyderabad +86 more,NA
884,OM Logistics,4.0,Logistics , Delhi/NCR +102 more
885,Aerial Telecom Solutions,4.4,Telecom , Mohali +85 more
886,Lemon Tree Hotels,4.2,Hospitality , Delhi/NCR +65 more
887,Power Grid Corporation of India,4.4,Power , Gurgaon/Gurugram +184 more
888,Pristyn Care,3.6,Healthcare , Delhi +28 more
889,1point1 Solutions,3.4,BPO , Navi Mumbai +14 more
890,Vertex Customer Solutions,3.6,IT Services & Consulting , Panchkula +31 more
891,Vistaar Finance,4.2,NBFC , Bengaluru/Bangalore +165 more
892,Provana,3.7,IT Services & Consulting , Lisle +6 more
893,Hyundai Mobis,3.9,Auto Components , Kanchipuram +43 more
894,V2 Retail,3.5,Retail , Delhi/NCR +90 more
895,Ceasefire Industries,3.3,Industrial Machinery , Noida +69 more
896,Capacit'e Infraprojects,3.6,Engineering & Construction , Mumbai +31 more
897,Unicharm,4.2,Beauty & Personal Care , Mita +144 more
898,TechnipFMC,4.0,Industrial Machinery , Paris +39 more
899,Brillio,3.5,IT Services & Consulting , Edison +12 more
900,ThyssenKrupp Industries India,4.2,Industrial Machinery , Pune +45 more
901,Nykaa,3.5,Internet , Mumbai +82 more
902,Kotak Mahindra Prime,4.0,NBFC , Mumbai +125 more
903,GEP Worldwide,3.8,IT Services & Consulting , Clark +10 more
904,Hindustan Zinc,3.9,Metals & Mining , Udaipur +29 more
905,Happiest Minds Technologies,3.8,IT Services & Consulting , Bangalore +14 more
906,Qualcomm,4.0,Semiconductors , San Diego +15 more
907,TEKsystems,3.5,IT Services & Consulting , Hanover +14 more
908,More Supermarket,3.8,Retail , Mumbai +126 more
909,CarDekho,3.7,Internet , Jaipur +68 more
910,Dana Anand,4.1,Auto Components , Delhi/NCR +39 more
911,ZF Steering Gear,3.8,Auto Components , Pune +23 more
912,Hathway,3.7,Broadcasting , Mumbai +49 more
913,CenturyPly,3.9,Furniture & Furnishing , Kolkata +103 more
914,Colliers International,4.0,Real Estate , Ontario +35 more
915,Intex Technologies,3.7,Consumer Electronics & Appliances , Delhi/NCR +71 more
916,Acuity Knowledge Partners,3.5,Financial Services , London +11 more
917,Stanza Living,3.1,Internet , Delhi +30 more
918,Karur Vysya Bank,3.7,Banking , Karur +142 more
919,Tube Investments of India,4.0,Engineering & Construction , Chennai +54 more
920,Reliance AJIO,3.8,Internet , Bengaluru +189 more
921,United Alliance Technology,4.9,IT Services & Consulting , Pune +9 more
922,TK Elevator,4.0,Industrial Machinery , Essen +64 more
923,Aditya Birla Finance,3.9,NBFC , Mumbai +154 more
924,TradeIndia (Infocom Network Private Limited),3.4,Internet , Noida +38 more
925,Pizza Hut,4.0,Hospitality , Plano +105 more
926,Bosch Chassis Systems,4.2,Auto Components , Gerlingen +21 more
927,Feedback Infrastructure Services,3.5,Engineering & Construction , Gurgaon/Gurugram +119 more
928,Apotex Research,4.2,Pharma , Brantford +13 more
929,Imperial Auto Industries,3.9,Auto Components , Faridabad +35 more
930,Rashmi Metaliks,3.6,Iron & Steel , Kolkata +27 more
931,Spandana Sphoorty Financial,3.7,NBFC , Hyderabad/Secunderabad +228 more
932,Secure Meters,4.1,Electronics Manufacturing , Udaipur +69 more
933,Syngenta,4.3,Agriculture , Basel +140 more
934,Kirloskar Brothers,4.0,Industrial Machinery , Pune +58 more
935,Diageo,4.0,Beverage , London +83 more
936,Sundaram Finance,4.2,NBFC , Chennai +206 more
937,Colgate Palmolive,4.2,FMCG , New York +96 more
938,Fidelity Investments,4.3,Financial Services , Boston +16 more
939,Genius Consultants,3.8,Recruitment , Kolkata +77 more
940,H.G. Infra Engineering,4.4,Engineering & Construction , Jaipur +78 more
941,Ahluwalia Contracts India,4.1,Engineering & Construction , Delhi/NCR +49 more
942,Kinara Capital,4.5,FinTech , Bangalore +108 more
943,Pricol,4.0,Auto Components , Coimbatore +26 more
944,Dassault Systemes,4.0,Software Product , Velizy-villacoublay +9 more
945,PayPal,3.9,FinTech , San Jose +12 more
946,Orchids International School,3.1,Education & Training , Nasik/Nashik +25 more
947,Nilkamal,3.9,Furniture & Furnishing , Mumbai +96 more
948,Tata Chemicals,4.2,Chemicals , Mumbai +79 more
949,Sundaram Clayton,4.1,Auto Components , Chennai +24 more
950,Shalby Hospitals,4.6,Healthcare , Ahmedabad +23 more
951,CALIBEHR,4.0,Recruitment , Mumbai +128 more
952,VIP Industries,4.0,Retail , Mumbai +85 more
953,Incedo,3.4,IT Services & Consulting , Iselin +10 more
954,FLSmidth,3.7,Industrial Machinery , Copenhagen +21 more
955,JTEKT,4.2,Auto Components , Osaka +23 more
956,Gmmco,4.2,Industrial Machinery , Chennai +79 more
957,Visionet Systems,3.2,IT Services & Consulting , Cranbury +12 more
958,Fusion Microfinance,4.1,NBFC , Delhi +209 more
959,eClinicalWorks,3.9,Software Product , Westborough +14 more
960,Mahindra First Choice Wheels,3.8,Internet , Mumbai +109 more
961,Air India,4.1,Aviation , Delhi/NCR +54 more
962,SLK Global Services,3.8,BPO , Dallas +8 more
963,Egis  India Consulting Engineers,4.2,Engineering & Construction , Gurgaon/Gurugram +98 more
964,AstraZeneca,4.2,Pharma , Cambridge +42 more
965,Perfetti Van Melle,4.4,Food Processing , Lainate +126 more
966,Nirma,4.3,FMCG , Ahmedabad +53 more
967,MakeMyTrip,3.7,Internet , Gurgaon +37 more
968,KIMS Hospital,4.1,Healthcare , Hyderabad/Secunderabad +40 more
969,Next Education India,3.7,EdTech , Hyderabad/Secunderabad +81 more
970,VeeTechnologies,3.8,IT Services & Consulting , New York +27 more
971,Pacific BPO,3.5,BPO , Noida +16 more
972,LOREAL,4.1,Beauty & Personal Care , Clichy +84 more
973,Caratlane Trading,4.3,Retail , Chennai +55 more
974,Hikal,4.0,Pharma , Mumbai +17 more
975,MAHLE ANAND Filter Systems,4.2,Auto Components , Stuttgart +25 more
976,Teva Pharmaceuticals,4.2,Pharma , Dublin +33 more
977,INDO-MIM,4.3,Industrial Machinery , Bangalore/Bengaluru +20 more
978,Capital Numbers Infotech,4.7,IT Services & Consulting , Kolkata +16 more
979,Birla Corporation,4.2,Building Material , Kolkata +111 more
980,HFCL,4.2,Hardware & Networking , Delhi/NCR +93 more
981,Vedanta Aluminium,4.0,Metals & Mining , Jharsuguda +32 more
982,Fluor Corporation,4.3,Gurgaon / Gurugram +22 more,NA
983,Prodapt,3.8,IT Services & Consulting , Chennai +11 more
984,C&S Electric,4.1,Electrical Equipment , Delhi/NCR +49 more
985,Webhelp,3.7,BPO , Paris +14 more
986,ICICI Prudential Mutual Fund,3.9,Financial Services , New Delhi +137 more
987,SitusAMC,3.3,Software Product , Gurgaon / Gurugram +17 more
988,CADD Centre Training Services,4.1,Education & Training , Chennai +127 more
989,Zoho,4.3,Software Product , Chennai +26 more
990,Pernod Ricard,3.9,Beverage , Paris +96 more
991,Future Focus Infotech,3.6,IT Services & Consulting , Chennai +54 more
992,Metropolis Healthcare,4.1,Healthcare , Mumbai +77 more
993,Uber,4.2,Internet , San Francisco +44 more
994,Patra Corporation,3.8,BPO , El Dorado Hills +14 more
995,Troikaa Pharmaceuticals,3.7,Pharma , Ahmedabad +68 more
996,Mu Sigma,2.8,Analytics & KPO , Northbrook +10 more
997,Better.com,3.0,Financial Services , New York City +5 more
998,Air India Sats Airport Services,3.8,Aviation , Mumbai +33 more
999,Orion Edutech,3.3,EdTech , Kolkata +105 more
1000,Ford Business Solutions,4.5,IT Services & Consulting , Dearborn +42 more
1001,SBFC Finance,3.8,NBFC , Mumbai +156 more
1002,TNQ Technologies,3.7,Printing & Publishing , Chennai +9 more
1003,Skill Lync,3.1,EdTech , Palo Alto +13 more
1004,Thomas Cook,3.9,Travel & Tourism , Mumbai +75 more
1005,Otis Elevator,4.0,Industrial Machinery , Farmington +60 more
1006,Wheels,4.1,Auto Components , Chennai +35 more
1007,Neel Metal Products,4.1,Metals & Mining , Gurgaon +33 more
1008,Amara Raja Group,4.2,Auto Components , Bangalore/Bengaluru +56 more
1009,C.R.I. Pumps,3.9,Industrial Machinery , Coimbatore +59 more
1010,Indira IVF Hospital,3.9,Healthcare , Mumbai +85 more
1011,Centre for Development of Advanced Computing,3.8,IT Services & Consulting , Pune +28 more
1012,Schaeffler India,4.2,Auto Components , Mumbai +18 more
1013,GVPR Engineers,4.0,Engineering & Construction , Hyderabad/Secunderabad +67 more
1014,Yashoda Hospitals,3.9,Healthcare , Ghaziabad +24 more
1015,Federal Bank,3.9,Banking , Aluva +118 more
1016,Quest Retail Private Limited,4.5,Retail , Gurgaon/Gurugram +71 more
1017,Test Yantra Software Solutions,3.3,IT Services & Consulting , Bangalore/Bengaluru +15 more
1018,Toppr,3.4,EdTech , Mumbai +43 more
1019,Leadec India,4.1,Facility Management Services , Stuttgart +50 more
1020,Willis Towers Watson,3.9,Financial Services , London +15 more
1021,Pramerica Life Insurance,3.9,Insurance , Gurgaon +117 more
1022,Vertiv,4.0,IT Services & Consulting , Columbus +46 more
1023,Bank of India,4.0,Banking , Mumbai +160 more
1024,Aarvi Encon,4.1,Recruitment , Mumbai +96 more
1025,Aviva Life Insurance India,3.6,Insurance , London +105 more
1026,Alok Industries,3.8,Fashion & Textile , Mumbai +29 more
1027,Huhtamaki,3.9,Packaging , Espoo +32 more
1028,Meril,3.9,Medical Equipment , Vapi +63 more
1029,Shriram General Insurance,3.6,Insurance , Jaipur +160 more
1030,Suzuki Motorcycle,4.1,Automobile , Hamamatsu-shi +99 more
1031,Everest Industries,4.1,Building Material , Noida +70 more
1032,Gharda Chemicals,4.2,Chemicals , Mumbai +56 more
1033,Grant Thornton,3.7,Accounting & Auditing , Chicago +45 more
1034,Napino Auto & Electronics,4.1,Auto Components , Gurgaon/Gurugram +15 more
1035,Centum Electronics,3.9,Electronics Manufacturing , Bangalore/Bengaluru +13 more
1036,Dunzo,3.5,Internet , Bangalore +18 more
1037,DLF,4.1,Real Estate , Gurgaon/Gurugram +28 more
1038,Digit Insurance,3.9,Insurance , Bengaluru/Bangalore +69 more
1039,Marks & Spencer,4.0,Retail , London +56 more
1040,Lakshmi Machine Works,4.0,Industrial Machinery , Coimbatore +22 more
1041,Godrej Agrovet,4.1,Agriculture , Mumbai +108 more
1042,Zydus Wellness,4.0,FMCG , Ahmedabad +99 more
1043,Aspire Systems,4.0,IT Services & Consulting , Oak Brook +17 more
1044,Columbia Asia,4.4,Healthcare , Bangalore/Bengaluru +20 more
1045,THE LEELA PALACES HOTELS & RESORTS,4.0,Hospitality , Mumbai +27 more
1046,Rupeek,3.7,FinTech , Bangalore +55 more
1047,Westside,4.1,Fashion & Textile , Mumbai +98 more
1048,Aparna Constructions and Estates,4.2,Real Estate , Hyderabad/Secunderabad +17 more
1049,HT Media,3.3,Media & Entertainment , Delhi/NCR +39 more
1050,Sykes Business Services Of India,3.4,BPO , Tampa +16 more
1051,Sandhar Technologies,3.8,Auto Components , Gurgaon/Gurugram +28 more
1052,Parekh Integrated Services,4.1,Logistics , Mumbai +69 more
1053,Bechtel,4.1,Engineering & Construction , Reston +25 more
1054,Allianz Technology,4.2,IT Services & Consulting , Munich +12 more
1055,Kohler,3.9,Building Material , Kohler +40 more
1056,Duck Creek Technologies,4.5,Software Product , Boston +6 more
1057,Star Cement,4.0,Building Material , Kolkata +62 more
1058,Greaves Cotton,4.1,Auto Components , Mumbai +38 more
1059,Vedanta Resources,3.8,Metals & Mining , London +59 more
1060,Knorr-Bremse,4.1,Auto Components , Munich +26 more
1061,Natco Pharma,4.0,Pharma , Hyderabad/Secunderabad +48 more
1062,KEI Industries,4.2,Electrical Equipment , Delhi/NCR +76 more
1063,Timken,3.9,Industrial Machinery , Bangalore/Bengaluru +35 more
1064,Panacea Biotec,3.9,Biotechnology , Delhi/NCR +52 more
1065,ffreedom app,3.6,Internet , Bengaluru/Bangalore +21 more
1066,Godfrey Phillips India,4.0,FMCG , Delhi/NCR +87 more
1067,National Health Mission,3.7,Healthcare , Guwahati +234 more
1068,Samsung Engineering,4.3,Engineering & Construction , Suwon-Si +47 more
1069,United Breweries,3.8,Beverage , Bangalore/Bengaluru +90 more
1070,Varroc Polymers,3.9,Auto Components , Aurangabad +31 more
1071,Medha Servo Drives,4.2,Electrical Equipment , Hyderabad/Secunderabad +46 more
1072,SHYAM METALICS AND ENERGY,3.7,Iron & Steel , Kolkata +46 more
1073,Asirvad Microfinance,3.9,NBFC , Chennai +215 more
1074,Franklin Templeton Investments,4.2,San Mateo +27 more,NA
1075,NielsenIQ,3.9,IT Services & Consulting , Chicago +31 more
1076,Samsung Research,3.4,Consumer Electronics & Appliances , Seocho-gu +11 more
1077,Atlas Copco,4.3,Industrial Machinery , Nacka Municipality +50 more
1078,Page Industries,4.2,Fashion & Textile , Bangalore/Bengaluru +75 more
1079,Defence Research & Development Organisation,4.5,Defence & Aerospace , Delhi/NCR +44 more
1080,LEAD School,3.3,EdTech , Mumbai +89 more
1081,Astral Pipe,4.3,Building Material , Ahmedabad +98 more
1082,Greenko Group,3.9,Power , Hyderabad +58 more
1083,ValueMomentum,3.4,IT Services & Consulting , Piscataway +7 more
1084,Infra.Market,4.2,Building Material , Thane +76 more
1085,Tata Consumer Products,3.9,FMCG , Mumbai +144 more
1086,Piramal Pharma,4.0,Pharma , Lexington +52 more
1087,Indusind Marketing & Financial Services,4.0,Financial Services , Chennai +251 more
1088,T-SYSTEMS ICT INDIA,3.9,IT Services & Consulting , Frankfurt +9 more
1089,Bayer Crop Science Vegetable Seeds,4.4,Hyderabad / Secunderabad +141 more,NA
1090,Precision Techserve,3.8,IT Services & Consulting , Chennai +84 more
1091,NetAmbit,3.3,BPO , Noida +87 more
1092,Qinecsa Solutions,2.9,Clinical Research , Mysuru / Mysore +10 more
1093,Aristo Pharmaceuticals,4.1,Pharma , Mumbai +89 more
1094,Adani Green Energy,4.2,Power , Ahmedabad +69 more
1095,Kalpataru Group,3.9,Real Estate , Mumbai +65 more
1096,SFO Technologies,3.6,Electronics Manufacturing , Kochi/Cochin +14 more
1097,Future Supply Chain Solutions,4.4,Logistics , Mumbai +62 more
1098,Rebel Foods,3.8,Internet , Mumbai +61 more
1099,Financial Software & Systems,3.8,FinTech , Chennai +26 more
1100,Acme Cleantech Solutions,4.0,Industrial Machinery , Gurgaon/Gurugram +82 more
1101,Northern Trust,3.8,Financial Services , Bangalore / Bengaluru +15 more
1102,Salesforce,4.1,Software Product , San Francisco +26 more
1103,Galfar,4.1,Engineering & Construction , Muscat +34 more
1104,Cult.fit,3.8,Fitness & Wellness , Bangalore +35 more
1105,Innova Solutions,3.6,IT Services & Consulting , Atlanta +24 more
1106,Lumina Datamatics,3.5,IT Services & Consulting , Mumbai +15 more
1107,Mswipe Technologies,3.1,FinTech , Mumbai +80 more
1108,Velocis Systems,3.9,IT Services & Consulting , Noida +46 more
1109,AtkinsRealis,4.2,Engineering & Construction , Montreal +53 more
1110,Michelin,3.9,Auto Components , Clermont-Ferrand +41 more
1111,Snapdeal,4.0,Internet , Delhi +30 more
1112,Prochant,4.4,BPO , Prochant +7 more
1113,Citco,3.1,Financial Services , Cayman Islands +11 more
1114,Fareportal,3.3,Internet , New York +11 more
1115,General Mills,4.2,Food Processing , Minneapolis +41 more
1116,Lowe's,4.2,Retail , Mooresville +6 more
1117,City Union Bank,3.4,Banking , Thanjavur +120 more
1118,CNH,4.1,Automobile , London +55 more
1119,NBC Bearings,3.9,Auto Components , Jaipur +25 more
1120,Nityo Infotech,3.1,IT Services & Consulting , plainsboro New Jersey +27 more
1121,Quess IT Staffing Solutions,3.5,Bangalore / Bengaluru +51 more,NA
1122,J B Chemicals And Pharmaceuticals,3.9,Pharma , Mumbai +70 more
1123,Athena BPO,3.3,BPO , Mumbai +27 more
1124,NetCracker,3.0,IT Services & Consulting , Waltham +8 more
1125,Netscribes,2.9,Analytics & KPO , New York +8 more
1126,Bayer,4.2,Pharma , Monheim Am Rhein +98 more
1127,Royal Sundaram General Insurance,4.0,Insurance , Chennai +93 more
1128,ICCS,3.3,BPO , Delhi/NCR +25 more
1129,Sanden Vikas,4.0,Auto Components , Faridabad +23 more
1130,Karvy Stock Broking,3.7,Hyderabad/Secunderabad +101 more,NA
1131,Musashi Auto Parts,4.0,Auto Components , Gurgaon/Gurugram +20 more
1132,GAMMON INDIA,3.8,Engineering & Construction , Mumbai +66 more
1133,Aparajitha Corporate Services,4.0,Legal , Madurai +72 more
1134,DuPont,4.2,Waste Management , Wilmington +46 more
1135,Hitachi Payment Services,3.8,FinTech , Mumbai +47 more
1136,Shilpa Medicare,3.6,Pharma , Raichur +28 more
1137,Sandvik Asia,4.3,Industrial Machinery , Stockholm +35 more
1138,Collins Aerospace,4.0,Defence & Aerospace , Charlotte +7 more
1139,Border Security Force,4.5,Law Enforcement & Security , Delhi/NCR +89 more
1140,OCS Group,4.0,Facility Management Services , Mumbai +48 more
1141,Jabil Circuit India,4.0,Electronics Manufacturing , St Petersburg +12 more
1142,Artech Infosystems,3.6,Morristown +20 more,NA
1143,Tata Electronics,4.0,Semiconductors , Krishnagiri +20 more
1144,Temenos,3.3,Software Product , Geneva +8 more
1145,Signify,3.6,Consumer Electronics & Appliances , Eindhoven +63 more
1146,Knight Frank,4.2,Real Estate , London +43 more
1147,Merino Industries,3.8,Furniture & Furnishing , Delhi/NCR +56 more
1148,Medusind Solutions,3.8,IT Services & Consulting , Mumbai +9 more
1149,Genpact Headstrong Capital Markets,3.8,IT Services & Consulting , New Delhi +18 more
1150,Schlumberger,4.1,Oil & Gas , Houston +27 more
1151,OLX,3.8,Internet , Gurgaon +47 more
1152,Navayuga Engineering Company,4.1,Engineering & Construction , Hyderabad/Secunderabad +58 more
1153,Zepto,3.7,Internet , Mumbai +29 more
1154,Tata Starbucks,4.3,Hospitality , Mumbai +40 more
1155,ESL Steel,4.1,Iron & Steel , Jharkhand +19 more
1156,DAV Public School,4.1,Education & Training , Delhi/NCR +140 more
1157,Micromax Informatics,3.7,Consumer Electronics & Appliances , Gurgaon/Gurugram +112 more
1158,HomeLane,3.5,Architecture & Interior Design , Bangalore +35 more
1159,Adani Enterprises,3.9,Ahmedabad +56 more,NA
1160,Mastek,3.6,IT Services & Consulting , Mumbai +18 more
1161,Porter,4.2,Internet , Bangalore +24 more
1162,Arohan Financial Services,4.1,NBFC , Kolkata +160 more
1163,Xebia,3.5,IT Services & Consulting , Hilversum +16 more
1164,Ageas Federal Life Insurance,3.7,Insurance , Mumbai +110 more
1165,Quantiphi Analytics Solutions Private Limited,3.1,IT Services & Consulting , Marlborough +11 more
1166,Volvo,4.1,Automobile , Gothenburg +36 more
1167,The Akshaya Patra Foundation,4.7,Non-Profit , Bangalore/Bengaluru +66 more
1168,Reliance Power,4.2,Power , Navi Mumbai +29 more
1169,Eveready Industries,4.0,Consumer Electronics & Appliances , Kolkata +78 more
1170,AuthBridge Research Services,3.7,IT Services & Consulting , Gurgaon +14 more
1171,Rungta Mines,4.1,Metals & Mining , Singhbum +25 more
1172,Guardian India,4.1,Insurance , New York  +9 more
1173,BNP Paribas India Solutions,4.0,IT Services & Consulting , Paris +9 more
1174,GlaxoSmithKline Consumer Healthcare,4.5,Pharma , London +93 more
1175,RAMTeCH Software Solutions,3.9,IT Services & Consulting , Noida +27 more
1176,Amul Dairy,4.2,Food Processing , Anand +127 more
1177,TÜV NORD,3.8,Other , Mumbai +55 more
1178,Globant,4.0,Software Product , San Francisco +12 more
1179,CRB Tech Solution,4.1,EdTech , Pune +9 more
